Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[25:52.860 --> 25:53.860]  показывает
[25:53.860 --> 25:55.860]  на ваши локальные переменные
[25:55.860 --> 25:56.860]  за ним
[25:56.860 --> 25:58.860]  адрес возврата
[25:58.860 --> 26:00.860]  то есть даже если
[26:00.860 --> 26:01.860]  где-то посередине
[26:01.860 --> 26:02.860]  вот здесь у вас что-то
[26:02.860 --> 26:03.860]  покрашилось
[26:03.860 --> 26:04.860]  сейчас
[26:04.860 --> 26:05.860]  мы же поставили
[26:05.860 --> 26:07.860]  мы же сказали что
[26:07.860 --> 26:08.860]  ebp плюс
[26:08.860 --> 26:09.860]  это будет
[26:09.860 --> 26:10.860]  будет
[26:10.860 --> 26:11.860]  так
[26:11.860 --> 26:12.860]  то есть ты обращаешься к ним
[26:12.860 --> 26:13.860]  как ebp плюс что-то
[26:13.860 --> 26:14.860]  да
[26:14.860 --> 26:15.860]  а сам ebp
[26:15.860 --> 26:17.860]  ты не трогаешь
[26:17.860 --> 26:19.860]  то есть все время работы функции
[26:19.860 --> 26:21.860]  вот отсюда
[26:21.860 --> 26:22.860]  и досюда
[26:22.860 --> 26:23.860]  ebp не трогается
[26:23.860 --> 26:25.860]  если
[26:25.860 --> 26:26.860]  здесь
[26:26.860 --> 26:27.860]  нечто
[26:27.860 --> 26:28.860]  покрашилось
[26:28.860 --> 26:29.860]  и
[26:29.860 --> 26:30.860]  значит
[26:30.860 --> 26:31.860]  знает
[26:31.860 --> 26:32.860]  что используется
[26:32.860 --> 26:33.860]  вот
[26:33.860 --> 26:34.860]  такая структура
[26:34.860 --> 26:35.860]  входа
[26:35.860 --> 26:36.860]  он
[26:36.860 --> 26:37.860]  легко определяет
[26:37.860 --> 26:38.860]  кто
[26:38.860 --> 26:39.860]  вас вызвал
[26:39.860 --> 26:41.860]  то есть
[26:41.860 --> 26:42.860]  адрес
[26:42.860 --> 26:43.860]  возврата
[26:43.860 --> 26:44.860]  просто
[26:44.860 --> 26:45.860]  ebp
[26:45.860 --> 26:46.860]  плюс 4
[26:46.860 --> 26:48.860]  это раз
[26:48.860 --> 26:49.860]  то
[26:49.860 --> 26:50.860]  второе
[26:50.860 --> 26:51.860]  если по адресу
[26:51.860 --> 26:52.860]  ebp
[26:52.860 --> 26:53.860]  прочесть значения
[26:53.860 --> 26:54.860]  то это будет
[26:54.860 --> 26:55.860]  ebp
[26:55.860 --> 26:56.860]  вот
[26:56.860 --> 26:57.860]  того кто вас вызвал
[26:57.860 --> 26:59.860]  и по адресу
[26:59.860 --> 27:00.860]  который
[27:00.860 --> 27:01.860]  вы прочли
[27:01.860 --> 27:02.860]  плюс 4
[27:02.860 --> 27:04.860]  прибежит адрес возврата
[27:04.860 --> 27:05.860]  того
[27:05.860 --> 27:06.860]  кто вызвал
[27:06.860 --> 27:07.860]  вас
[27:07.860 --> 27:09.860]  то есть вы можете
[27:09.860 --> 27:10.860]  легко
[27:10.860 --> 27:11.860]  построить
[27:11.860 --> 27:12.860]  вот этот
[27:12.860 --> 27:13.860]  стек вызов
[27:13.860 --> 27:15.860]  понятно
[27:15.860 --> 27:17.860]  и
[27:17.860 --> 27:18.860]  просто
[27:18.860 --> 27:19.860]  вот такая структура
[27:19.860 --> 27:20.860]  позволяет
[27:20.860 --> 27:21.860]  легко
[27:21.860 --> 27:22.860]  строить
[27:22.860 --> 27:23.860]  стек вызов
[27:23.860 --> 27:24.860]  да
[27:32.860 --> 27:33.860]  да
[27:33.860 --> 27:34.860]  в принципе
[27:36.860 --> 27:37.860]  более сложную
[27:37.860 --> 27:38.860]  вещь
[27:38.860 --> 27:39.860]  чем мы здесь
[27:39.860 --> 27:40.860]  делаем
[27:40.860 --> 27:41.860]  есть специализированная
[27:41.860 --> 27:42.860]  инструкция
[27:42.860 --> 27:44.860]  Enter
[27:44.860 --> 27:46.860]  у нас есть аргументы
[27:46.860 --> 27:47.860]  но ее
[27:47.860 --> 27:48.860]  компиляторы
[27:48.860 --> 27:49.860]  используют
[27:49.860 --> 27:50.860]  никогда
[27:50.860 --> 27:51.860]  потому
[27:51.860 --> 27:56.660]  Потому что её сложная функциональность в современном мире никому не нужна.
[27:57.660 --> 28:02.660]  А раз её компиляторы не используют, работают на какой скорости? Черепашью.
[28:03.360 --> 28:07.660]  Про enter? Нет, компиляторы её не используют.
[28:08.060 --> 28:14.360]  Так, конечно, какой-то её вариант, можно написать аргументы, которые будут эквивалентны вот чему-то такому.
[28:15.160 --> 28:19.660]  Любое дело, что так никто не делает, потому что это будет менее лучше написать эти команды.
[28:19.660 --> 28:25.160]  А вот комбинация вот этих команд, она эквивалентна команде leave.
[28:27.160 --> 28:32.660]  Но с какой скоростью работает команда leave на текущем процессоре?
[28:33.160 --> 28:38.160]  Компиляторы обычно также предпочитают не заниматься спекуляцией.
[28:38.160 --> 28:44.160]  То есть если ты скажешь компилятору, я оптимизирую под такой-то стройкой процессора,
[28:44.160 --> 28:48.160]  и компилятор знает, что команда leave на этом процессоре быстро,
[28:48.160 --> 28:52.660]  то он может вместо вот этих команд поставить в консентре.
[28:53.660 --> 28:55.660]  Но если ты не сказал ему так генерику компиляцию,
[28:55.660 --> 28:59.660]  тогда он не будет экспериментировать и поставить вот это,
[28:59.660 --> 29:04.660]  потому что шансов проиграть от команды leave немало.
[29:04.660 --> 29:08.160]  Да.
[29:08.160 --> 29:09.160]  Да.
[29:09.160 --> 29:10.160]  Да.
[29:10.160 --> 29:11.160]  Да.
[29:11.160 --> 29:12.160]  Да.
[29:12.160 --> 29:16.160]  Еще раз, стек-преймы, они нужны для чего?
[29:16.160 --> 29:19.160]  Для того, чтобы вам, как программистам,
[29:19.160 --> 29:23.160]  было легче обращаться к локальным переменным,
[29:23.160 --> 29:26.660]  чтобы не напрягать себя в вычислении.
[29:26.660 --> 29:29.660]  И второй плюс,
[29:29.660 --> 29:31.660]  что легко
[29:31.660 --> 29:33.660]  делать
[29:33.660 --> 29:34.660]  trace
[29:34.660 --> 29:36.660]  стек вызова
[29:36.660 --> 29:37.660]  даже
[29:37.660 --> 29:39.660]  без наличия опалочной информации.
[29:39.660 --> 29:44.160]  Понятно, что первый элемент компиляторов вообще не применим,
[29:44.160 --> 29:48.160]  то есть они явно не ради облегчения вычислений это делают.
[29:48.160 --> 29:54.160]  Они это делают ради того, чтобы легко можно было построить стек вызова.
[29:54.160 --> 29:58.660]  Но цена этому один регистр.
[29:58.660 --> 30:02.660]  Поэтому если вы скажете специальную опцию компилятору
[30:02.660 --> 30:04.660]  не заводи стек-фреймы,
[30:04.660 --> 30:07.660]  то у компилятора будет плюс один регистр,
[30:07.660 --> 30:10.660]  он будет меньше сбрасывать данные в оперативку,
[30:10.660 --> 30:12.160]  и все будет побыстрее,
[30:12.160 --> 30:14.660]  но без отладочной информации
[30:14.660 --> 30:17.160]  отладчик тебе будет показывать
[30:17.160 --> 30:19.660]  полный минус в качестве стек-фрейма.
[30:19.660 --> 30:25.160]  С моей точки зрения, конечно, это того стоит.
[30:25.160 --> 30:28.160]  Только еще раз.
[30:28.160 --> 30:30.660]  А по дефолту, даже в релизе,
[30:30.660 --> 30:32.660]  по-моему, современные компиляторы
[30:32.660 --> 30:34.660]  находятся в состоянии
[30:34.660 --> 30:36.660]  без тек-фрейма кинги.
[30:36.660 --> 30:38.660]  Ну что это в дефолту?
[30:42.160 --> 30:44.160]  Разумность стек-фрейма...
[30:44.160 --> 30:46.160]  Но функции зависят еще, наверное.
[30:46.160 --> 30:47.160]  Нет.
[30:47.160 --> 30:49.160]  Так называется foreign convention.
[30:49.160 --> 30:50.160]  Это не только оптимизация,
[30:50.160 --> 30:52.660]  но и есть foreign convention с таким названием.
[30:52.660 --> 30:53.660]  Нет.
[30:53.660 --> 30:55.660]  В смысле, у нас функция
[30:55.660 --> 30:57.660]  инкфу,
[30:57.660 --> 30:59.660]  она не только оптимизация,
[30:59.660 --> 31:02.660]  но и есть foreign convention с таким названием.
[31:02.660 --> 31:03.660]  Инкфу,
[31:03.660 --> 31:05.660]  она возвращает какой-то return bar.
[31:05.660 --> 31:06.660]  Ну и что?
[31:06.660 --> 31:07.660]  Зачем ей это делать?
[31:07.660 --> 31:08.660]  Еще раз, для того, чтобы,
[31:08.660 --> 31:09.660]  когда посреди твоей функции
[31:09.660 --> 31:10.660]  что-то покрасить,
[31:10.660 --> 31:13.660]  можно было построить легко и без дебаг информации
[31:13.660 --> 31:14.660]  стек-фрейма кинги.
[31:14.660 --> 31:15.660]  А зачем он нужен?
[31:15.660 --> 31:18.660]  Ну вот в релизе
[31:18.660 --> 31:19.660]  зачем он нужен?
[31:19.660 --> 31:20.660]  Это же стоит вот сколько?
[31:20.660 --> 31:21.660]  Раз, два, три, четыре, пять.
[31:21.660 --> 31:22.660]  Да.
[31:22.660 --> 31:23.660]  Да.
[31:23.660 --> 31:24.660]  Да.
[31:24.660 --> 31:25.660]  Ну и что?
[31:25.660 --> 31:26.660]  Зачем ей это делать?
[31:26.660 --> 31:28.660]  Еще раз, для того, чтобы,
[31:28.660 --> 31:31.660]  когда посреди твоей функции
[31:31.660 --> 31:33.660]  что-то покрашивать,
[31:33.660 --> 31:38.660]  можно было построить легко и без дебаг информации
[31:38.660 --> 31:40.660]  стек-фрейма кинги.
[31:40.660 --> 31:42.660]  А зачем он нужен?
[31:42.660 --> 31:44.660]  Ну вот в релизе зачем он нужен?
[31:44.660 --> 31:47.660]  Это же стоит вот сколько?
[31:47.660 --> 31:48.660]  Раз, два, три, четыре, пять.
[31:48.660 --> 31:49.660]  Нет.
[31:49.660 --> 31:52.660]  На самом деле, сейчас операции не такие дорогие.
[31:52.660 --> 31:54.660]  Это больше стоимость,
[31:54.660 --> 31:56.660]  что ты минус-регистер.
[31:56.660 --> 31:58.660]  Минус-регистер более заметно,
[31:58.660 --> 32:00.660]  чем эти парочки операций.
[32:05.660 --> 32:06.660]  Просто я вам говорю, что обратите внимание,
[32:06.660 --> 32:08.660]  вот это вот понятие стек-фрейма,
[32:08.660 --> 32:11.660]  и компиляторы обычно так же нелегко.
[32:11.660 --> 32:13.660]  А как без этого?
[32:13.660 --> 32:14.660]  Если у меня эксепшен прилетит,
[32:14.660 --> 32:15.660]  я хочу развернуть стек.
[32:15.660 --> 32:17.660]  Вот я C++ разработчик.
[32:17.660 --> 32:18.660]  Или я вот решил эксепшен использовать?
[32:18.660 --> 32:19.660]  Нет, нет, нет, нет.
[32:19.660 --> 32:20.660]  Это про другое.
[32:20.660 --> 32:23.660]  Чтобы развернуть стек
[32:23.660 --> 32:26.660]  вот внутри себя,
[32:26.660 --> 32:28.660]  компилятор в компании тебе
[32:28.660 --> 32:30.660]  достаточной информации.
[32:30.660 --> 32:34.660]  То есть, чтобы развернуть стек,
[32:34.660 --> 32:36.660]  кстати, я пришел эксепшен,
[32:36.660 --> 32:38.660]  в любом случае,
[32:38.660 --> 32:39.660]  как бы оно не скомпировалось,
[32:39.660 --> 32:41.660]  оно будет работать.
[32:41.660 --> 32:43.660]  Там же отдельная информация
[32:43.660 --> 32:45.660]  да, нет, там отдельная информация
[32:45.660 --> 32:47.660]  после каких-либо скомпироваться.
[32:47.660 --> 32:50.660]  А это как бы удобство
[32:50.660 --> 32:53.660]  для внешнего отладчика
[32:53.660 --> 32:57.660]  или каких-то автоматизированных средств.
[32:57.660 --> 33:00.660]  вообще выдавать стек вызова
[33:00.660 --> 33:02.660]  очень все любят,
[33:02.660 --> 33:04.660]  когда случилась какая-то ошибка,
[33:04.660 --> 33:06.660]  потому что это хоть какая-то
[33:06.660 --> 33:07.660]  осмысленная информация о том,
[33:07.660 --> 33:08.660]  что пошло не так.
[33:08.660 --> 33:10.660]  Да.
[33:10.660 --> 33:13.660]  То есть даже если вы просто
[33:13.660 --> 33:14.660]  в релизе совершенно,
[33:14.660 --> 33:16.660]  без всяких профайлеров отладчиков,
[33:16.660 --> 33:18.660]  куча программ,
[33:18.660 --> 33:22.660]  которые специальные библиотеки используют,
[33:22.660 --> 33:24.660]  что в случае каша,
[33:24.660 --> 33:26.660]  выдать стек трейс.
[33:26.660 --> 33:28.660]  Оно действительно полезно.
[33:28.660 --> 33:32.660]  Просто вот этот вот такой легкий стек трейс,
[33:32.660 --> 33:37.660]  он обеспечивается вот такой тьмой.
[33:37.660 --> 33:45.660]  если вы делаете без стек фреймов,
[33:45.660 --> 33:47.660]  как я вам перед этим написал,
[33:47.660 --> 33:50.660]  просто напрямую опускаете ESP,
[33:50.660 --> 33:53.660]  то без дополнительной информации,
[33:53.660 --> 33:57.660]  которая содержится вот в отладочной информации,
[33:57.660 --> 34:01.660]  надежно нельзя сказать,
[34:01.660 --> 34:04.660]  откуда нас вызвали.
[34:04.660 --> 34:07.660]  Потому что непонятно, где в стеке
[34:07.660 --> 34:09.660]  лежит адрес возврата.
[34:09.660 --> 34:11.660]  Там какие-то указатели,
[34:11.660 --> 34:13.660]  киша, то есть там какие-то значения,
[34:13.660 --> 34:17.660]  некоторые из них похожи на адреса.
[34:17.660 --> 34:20.660]  Кто знает, какой из них адресов тракт,
[34:20.660 --> 34:21.660]  а датчик явно без.
[34:21.660 --> 34:23.660]  Это без оптимизации.
[34:23.660 --> 34:25.660]  Что с оптимизацией?
[34:25.660 --> 34:26.660]  Вот это стек фрейм,
[34:26.660 --> 34:28.660]  это компиляторы, это с оптимизацией.
[34:28.660 --> 34:29.660]  Не-не, я вот без оптимизацией
[34:29.660 --> 34:30.660]  он просто нажал в теке.
[34:30.660 --> 34:32.660]  Нет, без оптимизации он где-то такой себя.
[34:32.660 --> 34:33.660]  Ну да.
[34:33.660 --> 34:35.660]  Потому что вот этот стек фрейм,
[34:35.660 --> 34:37.660]  это, можно сказать, структура кода,
[34:37.660 --> 34:40.660]  которую нелегко генерирует компилятор
[34:40.660 --> 34:43.660]  даже в релизе.
[34:43.660 --> 34:45.660]  Даже в релизе.
[34:45.660 --> 34:48.660]  Ради того, чтобы можно было построить
[34:48.660 --> 34:52.660]  стек вызова без отладочной информации.
[34:52.660 --> 34:56.660]  если вы понимаете, что вам это вообще не критично,
[34:56.660 --> 35:00.660]  то следует сказать ключ к компилятору
[35:00.660 --> 35:02.660]  не генерируй стек фрейм.
[35:05.660 --> 35:07.660]  Понятно?
[35:07.660 --> 35:10.660]  Т.е. вот дефолт здесь генерировать стек фрейм.
[35:10.660 --> 35:12.660]  А во 2 включено убрать стек фрейм?
[35:12.660 --> 35:13.660]  Нет.
[35:13.660 --> 35:17.660]  Значит, символ 1 уже включено убрать стек фрейм.
[35:17.660 --> 35:23.660]  Ну, на самом деле оно зависит от всего окружающего.
[35:23.660 --> 35:27.660]  И если говорить про всякие, ну, по сути,
[35:27.660 --> 35:33.660]  там это больше настройки вашего действия.
[35:33.660 --> 35:37.660]  Ну, что там они решили?
[35:41.660 --> 35:44.660]  Ну, еще раз, нелегко даже в релизе
[35:44.660 --> 35:46.660]  стек фрейм генерируют.
[35:48.660 --> 35:51.660]  Т.е. это именно для отладки ашемерного отладки?
[35:51.660 --> 35:53.660]  Ну, еще раз, не отладки,
[35:53.660 --> 35:56.660]  а для того, чтобы когда покрашивать
[35:56.660 --> 35:59.660]  можно было легко увидеть стек вызов.
[35:59.660 --> 36:03.660]  Ну, или при профилировании.
[36:03.660 --> 36:06.660]  Потому что когда профайлер вас профилирует,
[36:06.660 --> 36:08.660]  он же тоже как профилирует.
[36:08.660 --> 36:11.660]  Он видит, что вот в данный момент времени
[36:11.660 --> 36:13.660]  исполняется вот эта команда.
[36:15.660 --> 36:17.660]  А вы, наверное, хотите видеть,
[36:17.660 --> 36:20.660]  что эта команда исполнялась довольно часто.
[36:20.660 --> 36:24.660]  А что вот к этому месту мы пришли вот отсюда.
[36:24.660 --> 36:29.660]  Т.е. если кому-то другому так же потребуется
[36:29.660 --> 36:32.660]  как-то построить стек вызова,
[36:32.660 --> 36:37.660]  то вот это помогает, а отсутствие этого мешает.
[36:39.660 --> 36:42.660]  И еще раз, стек вызова вы можете построить
[36:42.660 --> 36:45.660]  при наличии отладочной информации.
[36:45.660 --> 36:48.660]  Т.е. если вы сами компилировали программу,
[36:48.660 --> 36:52.660]  и вы сказали компилятору построить
[36:52.660 --> 36:54.660]  откладочную информацию,
[36:57.660 --> 36:59.660]  то вам стек фреймы не нужны.
[37:02.660 --> 37:05.660]  Т.е. это можно написать, а можно попросить компилятор сделать .
[37:05.660 --> 37:06.660]  Т.е. можно даже сделать .
[37:06.660 --> 37:07.660]  Т.е. не это сделать.
[37:07.660 --> 37:09.660]  Т.е. можно вот эту откладочную информацию,
[37:09.660 --> 37:11.660]  например, вот под виндой,
[37:11.660 --> 37:14.660]  фреймы тогда складывать в отдельный файл.
[37:14.660 --> 37:17.660]  Т.е. не в компиливать прямо в самоисполняемый файл,
[37:17.660 --> 37:19.660]  а в отдельный файл.
[37:19.660 --> 37:21.660]  Т.е. ты в релизе компиливаешься,
[37:21.660 --> 37:24.660]  можешь скопилироваться вот без тек фрейма,
[37:24.660 --> 37:27.660]  и если у тебя есть дополнительные файлы,
[37:27.660 --> 37:29.660]  тогда у тебя отладчик, отфайлеров,
[37:29.660 --> 37:31.660]  все хорошо понимают, что это устройство.
[37:31.660 --> 37:35.660]  А если ты убей, ну, все.
[37:35.660 --> 37:38.660]  Т.е. они не уверены, что происходит,
[37:38.660 --> 37:41.660]  говорят, что непонятное со стеком происходит.
[37:41.660 --> 37:45.660]  Не могу тебе поставить, построить стек визит.
[37:46.660 --> 37:49.660]  Т.е. если я включил дебаг информацию,
[37:49.660 --> 37:52.660]  мне стек фреймы в целом не нужны утверждения такое.
[37:52.660 --> 37:54.660]  Т.е. если у тебя есть эта дебаг информация,
[37:54.660 --> 37:59.660]  то, да, вот это вот применение стек фреймов
[37:59.660 --> 38:01.660]  для того, чтобы построить стек визит,
[38:01.660 --> 38:03.660]  абсолютно не нужно,
[38:03.660 --> 38:05.660]  потому что дебаг информации несет больше информации,
[38:05.660 --> 38:10.660]  и позволяет все это сделать через билл-гоинт.
[38:14.660 --> 38:18.660]  Т.е. если я хочу, чтобы в GDB отображался кастер не особо...
[38:18.660 --> 38:20.660]  Т.е. если я хочу, чтобы GDB отображался кастер не особо...
[38:20.660 --> 38:25.660]  Т.е. если ты говоришь не делай стек фрейм, то GDB это просто обычный регистр,
[38:25.660 --> 38:27.660]  в котором компилятор может хранить твои локальные переменные,
[38:27.660 --> 38:28.660]  и делает все то же самое, что…
[38:28.660 --> 38:31.660]  Т.е. если ты говоришь не делай стек фрейм, то GDB это просто обычный регистр,
[38:31.660 --> 38:50.020]  очень даже если ты говоришь не делай сфрейм это просто обычный регистра
[38:50.020 --> 38:54.720]  которым компилятор может хранить свои локальные переменные делают то же самое
[38:54.720 --> 39:04.860]  на самом деле смотрите ситуация она даже немножко интереснее а именно посмотрите
[39:04.860 --> 39:12.420]  на табличку как можно обращаться в памяти я вам прошлый раз ее рисовал табличку про 16
[39:12.420 --> 39:18.660]  что там в этой табличке
[39:18.660 --> 39:33.120]  смотрите что в этой табличке присутствует
[39:33.120 --> 39:47.460]  вы можете обращаться в памяти через bp но не через sp поэтому в 16-битном мире стейк фрейм
[39:47.460 --> 39:55.080]  вы фактически обязателен потому что если вы хотите обращаться к данным на стейке вы не можете это
[39:55.080 --> 40:02.640]  делать через регистр сп у вас просто нет такого способа адресации поэтому там вот этот стейк фрейм
[40:02.640 --> 40:10.860]  был железобетонный это был единственный способ обратиться к данным на стейке а в 30-битном мире
[40:10.860 --> 40:19.260]  так как разрешили обращаться через ESP стейк фрейм он стал такой опциональный ключ и я никак
[40:19.260 --> 40:26.940]  не дойду до третьего применения стейк фрейма третье применение зачем может потребоваться стейк фрейм
[40:26.940 --> 40:35.160]  в этом случае компиляторы всегда будут генерировать это если вы посреди функций делаете
[40:35.160 --> 40:50.160]  аллока или аналогичное действие кто курс что такое аллока это мы аллокируем динамического размера массив на стеке
[40:50.160 --> 40:58.380]  не массив просто ты выделяешь место на стеке аллока это в каком-то смысле аналог маллока
[40:58.380 --> 41:08.100]  но выделяет место не в куче а на стеке с такими свойствами что эта память автоматически освобождается
[41:08.100 --> 41:12.380]  когда вы выходите из функции и только так ее можно освободить
[41:12.380 --> 41:28.600]  а вот смотри как работает аллока аллока просто вычитает из ESP что ты сказал
[41:28.600 --> 41:30.600]  размер
[41:30.600 --> 41:33.600]  там динамический
[41:33.600 --> 41:35.600]  ну да
[41:35.600 --> 41:36.600]  да
[41:36.600 --> 41:38.600]  динамический время выполнения в этом
[41:38.600 --> 41:39.600]  да да да
[41:39.600 --> 41:40.600]  например на каком языке
[41:40.600 --> 41:41.600]  на си
[41:41.600 --> 41:43.600]  а я не знаю
[41:43.600 --> 41:46.600]  ну и на аналогичных языках которые себе позволяют
[41:46.600 --> 41:48.600]  но на плюсах такое нет
[41:48.600 --> 41:49.600]  есть
[41:49.600 --> 41:50.600]  на плюсах
[41:50.600 --> 41:53.600]  си означает
[41:53.600 --> 41:55.600]  и на плюсах почти всегда
[41:55.600 --> 41:58.600]  а какая
[41:58.600 --> 42:02.600]  ну где как на стеке выделить
[42:02.600 --> 42:03.600]  ты можешь вызывать стишные функции
[42:03.600 --> 42:05.600]  вместо маллока пишу так
[42:05.600 --> 42:06.600]  аааа
[42:06.600 --> 42:08.600]  ааа
[42:08.600 --> 42:09.600]  ааа
[42:09.600 --> 42:10.600]  я понял
[42:10.600 --> 42:11.600]  ну представь это ничего не меняет
[42:11.600 --> 42:12.600]  это функция
[42:12.600 --> 42:13.600]  это функция
[42:13.600 --> 42:16.600]  еще раз это аналог маллока
[42:16.600 --> 42:18.600]  примерно
[42:18.600 --> 42:20.600]  маллок
[42:20.600 --> 42:24.600]  но по ней не нужно и нельзя говорить free
[42:24.600 --> 42:26.600]  ааа
[42:26.600 --> 42:31.600]  потому что эта память освобождается автоматически при выходе из функции
[42:31.600 --> 42:32.600]  да
[42:32.600 --> 42:34.600]  и выделяется она на стеке
[42:34.600 --> 42:39.600]  то есть это выделение памяти стоит одну ассемберную команду сам
[42:39.600 --> 42:40.600]  а
[42:40.600 --> 42:41.600]  а
[42:41.600 --> 42:42.600]  а
[42:42.600 --> 42:43.600]  несколько
[42:43.600 --> 42:44.600]  несколько
[42:44.600 --> 42:46.600]  нигде несколько
[42:46.600 --> 42:47.600]  нигде несколько
[42:47.600 --> 42:48.600]  нигде несколько
[42:48.600 --> 42:49.600]  смотри
[42:49.600 --> 42:50.600]  как оно работает
[42:50.600 --> 42:53.600]  вот этот аулек а
[42:53.600 --> 42:54.600]  это
[42:54.600 --> 42:56.600]  фактически
[42:56.600 --> 43:05.600]  ЗАПЕСПРАЗМЕР
[43:05.600 --> 43:08.600]  Внимательно посмотрели, что я написал.
[43:08.600 --> 43:13.600]  Да. Вот это значение нигде не трекается.
[43:13.600 --> 43:15.600]  А, в смысле, что ИПП должен быть.
[43:15.600 --> 43:21.600]  Да, потому что у нас TechFrame позволяет тебе командой вот этой вот
[43:21.600 --> 43:26.600]  освободить всю выделенную память без необходимости наблюдать за этим.
[43:26.600 --> 43:36.600]  Поэтому если вы используете внутри их эмоции ALK или какой-то аналог ее, например, VLA-VASIL,
[43:36.600 --> 43:41.600]  то компилятор будет использовать TechFrame в любом случае.
[43:41.600 --> 43:49.600]  Потому что TechFrame в этом случае используется для того, чтобы просто трекать выделение памяти.
[43:49.600 --> 43:52.600]  То есть это вот третье использование TechFrame.
[43:52.600 --> 43:56.600]  И оно вот осмысленное, да, работает.
[43:56.600 --> 44:02.600]  И оно того стоит, если вы хотите вот так динамически выделять на стеке, потому что это очень дешево.
[44:02.600 --> 44:03.600]  Да.
[44:03.600 --> 44:07.600]  Это я бы не знаю, что я назвал имя ALK.
[44:07.600 --> 44:08.600]  В смысле не знаю.
[44:08.600 --> 44:11.600]  Это такая функция, которую кандидата знает.
[44:11.600 --> 44:14.600]  Это функция, честно говоря, intrinsic.
[44:14.600 --> 44:20.600]  То есть функция, о которой компилятор имеет глубокие внутренние познания.
[44:20.600 --> 44:35.600]  То есть то, что выглядит для тебя синтактическая функция, но на самом деле это специфическая штука, про которую компилятор имеет свои собственные знания.
[44:35.600 --> 44:43.600]  И такие функции мы будем еще встречать, когда там дальше поговорим про специальные команды, всякие специальные команды в мире.
[44:43.600 --> 44:51.600]  Как современные компиляторы вытаскивают на уровень C при помощи интенсива.
[44:51.600 --> 44:57.600]  То есть вы можете написать на стеке и в плюсах тоже, для тех, кто уже понял.
[44:57.600 --> 44:59.600]  Да, это конечно.
[45:00.600 --> 45:09.600]  Нечто, что синтактически выглядит как вызов функции, но на самом деле компиляторы в это место просто поставят какую-то хитрую команду.
[45:11.600 --> 45:12.600]  Нет, это не имлайн.
[45:12.600 --> 45:33.600]  Интенсив — это вот такие штуки, которые выглядят синтактически как функции, но компилятор имеет про них свои собственные внутренние и секретные знания, и они превращаются в результат не постменинковки, а прямо в момент компиляции.
[45:33.600 --> 45:44.600]  Вот. Это было про АЛОКА.
[45:48.600 --> 45:50.600]  Какие-то вопросы?
[45:52.600 --> 45:56.600]  Сейчас АЛОКА, когда вызывается, или заранее у тебя?
[45:56.600 --> 46:01.600]  Вот, как написал АЛОКА, тогда и происходит сам ЕСПР.
[46:01.600 --> 46:03.600]  Вот именно в этом месте.
[46:03.600 --> 46:04.600]  То есть не с АЛОКА, да.
[46:07.600 --> 46:16.600]  Поэтому, если ты делаешь этот цикл, то каждый вызов АЛОКА тебе будет выделять всю новую-новую порцию на стеке.
[46:17.600 --> 46:19.600]  Как АМАЛОКА, только не на стеке.
[46:19.600 --> 46:21.600]  Ну, АМАЛОКА там всё понятно.
[46:22.600 --> 46:25.600]  Так, что это только на белутину на АЛОКА.
[46:25.600 --> 46:26.600]  Да, да, да.
[46:26.600 --> 46:28.600]  Он, кстати, округляет тоже.
[46:28.600 --> 46:29.600]  Ну, конечно.
[46:29.600 --> 46:31.600]  200, 200, 800, даже на 200.
[46:31.600 --> 46:32.600]  Да, да.
[46:32.600 --> 46:33.600]  Да, да.
[46:33.600 --> 46:37.600]  Ну, за счёт компилятор ведёт себя, не знаю, как здесь.
[46:37.600 --> 46:39.600]  Да, да.
[46:39.600 --> 46:51.600]  Вот, поэтому, в принципе, я бы рекомендовал отключать стек-фреймы, потому что это даёт вам плюс один регистр.
[46:51.600 --> 46:52.600]  Сейчас.
[46:52.600 --> 47:05.600]  Но в некоторых случаях стек-фреймы нужны, например, вот этот пример, где у вас используется АЛОКА, там вы что бы не сказали, компилятор в любом случае это не стек-фрейм.
[47:07.600 --> 47:09.600]  Наоборот, тут нужно...
[47:10.600 --> 47:11.600]  Он по дефолту не генерит.
[47:11.600 --> 47:13.600]  Тут нужно ставить флажок, чтобы он их генерил.
[47:13.600 --> 47:17.600]  Нет, то есть ты используешь АЛОКА, он не сам отключить.
[47:17.600 --> 47:21.600]  Нет, в смысле я про стек-фреймы.
[47:21.600 --> 47:23.600]  Что он по дефолту не генерит.
[47:23.600 --> 47:25.600]  Нужно ставить флажок, чтобы он их генерил.
[47:25.600 --> 47:28.600]  Там no emit frame pointer.
[47:28.600 --> 47:29.600]  Да.
[47:29.600 --> 47:30.600]  No emit frame pointer.
[47:30.600 --> 47:31.600]  Да, no emit frame pointer.
[47:31.600 --> 47:32.600]  Я слышал, когда он не генерит.
[47:32.600 --> 47:33.600]  Но emit, значит по дефолту он emit.
[47:33.600 --> 47:34.600]  Нет, там omit.
[47:34.600 --> 47:35.600]  А, not omit.
[47:35.600 --> 47:36.600]  Да, no emit frame pointer.
[47:36.600 --> 47:37.600]  А, ну окей.
[47:37.600 --> 47:39.600]  Ну, в общем я нередко люблю, что компиляторы даже не генерируют.
